keyword,period,index,province
泰奇八宝粥,2021-02-16|2021-02-23,114,山东
泰奇八宝粥,2021-02-16|2021-02-23,0,贵州
泰奇八宝粥,2021-02-16|2021-02-23,114,江西
泰奇八宝粥,2021-02-16|2021-02-23,0,重庆
泰奇八宝粥,2021-02-16|2021-02-23,0,内蒙古
泰奇八宝粥,2021-02-16|2021-02-23,0,湖北
泰奇八宝粥,2021-02-16|2021-02-23,114,辽宁
泰奇八宝粥,2021-02-16|2021-02-23,362,湖南
泰奇八宝粥,2021-02-16|2021-02-23,57,福建
泰奇八宝粥,2021-02-16|2021-02-23,114,上海
泰奇八宝粥,2021-02-16|2021-02-23,0,北京
泰奇八宝粥,2021-02-16|2021-02-23,234,广西
泰奇八宝粥,2021-02-16|2021-02-23,977,广东
泰奇八宝粥,2021-02-16|2021-02-23,0,四川
泰奇八宝粥,2021-02-16|2021-02-23,57,云南
泰奇八宝粥,2021-02-16|2021-02-23,230,江苏
泰奇八宝粥,2021-02-16|2021-02-23,175,浙江
泰奇八宝粥,2021-02-16|2021-02-23,57,青海
泰奇八宝粥,2021-02-16|2021-02-23,0,宁夏
泰奇八宝粥,2021-02-16|2021-02-23,57,河北
泰奇八宝粥,2021-02-16|2021-02-23,0,黑龙江
泰奇八宝粥,2021-02-16|2021-02-23,57,吉林
泰奇八宝粥,2021-02-16|2021-02-23,0,天津
泰奇八宝粥,2021-02-16|2021-02-23,114,山东
泰奇八宝粥,2021-02-16|2021-02-23,0,贵州
泰奇八宝粥,2021-02-16|2021-02-23,114,江西
泰奇八宝粥,2021-02-16|2021-02-23,0,重庆
泰奇八宝粥,2021-02-16|2021-02-23,0,内蒙古
泰奇八宝粥,2021-02-16|2021-02-23,0,湖北
泰奇八宝粥,2021-02-16|2021-02-23,114,辽宁
泰奇八宝粥,2021-02-16|2021-02-23,362,湖南
泰奇八宝粥,2021-02-16|2021-02-23,57,福建
泰奇八宝粥,2021-02-16|2021-02-23,114,上海
