,id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities,text
0,1,_,,,物美价廉,0,4,价格,正面,物美价廉，送货快，客服态度好，下次还会继续光顾的
1,1,送货,5,7,快,7,8,物流,正面,物美价廉，送货快，客服态度好，下次还会继续光顾的
2,1,客服态度,9,13,好,13,14,体验,正面,物美价廉，送货快，客服态度好，下次还会继续光顾的
3,2,价格,0,2,实惠,3,5,价格,正面,价格很实惠，性价比很高，算是平价好物，会回购的非常值得信赖的品牌，质量有保障，价格还亲民，相当满意很好看。商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
4,2,性价比,6,9,很高,9,11,价格,正面,价格很实惠，性价比很高，算是平价好物，会回购的非常值得信赖的品牌，质量有保障，价格还亲民，相当满意很好看。商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
5,2,品牌,30,32,非常值得信赖,23,29,体验,正面,价格很实惠，性价比很高，算是平价好物，会回购的非常值得信赖的品牌，质量有保障，价格还亲民，相当满意很好看。商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
6,2,质量,33,35,有保障,35,38,整体,正面,价格很实惠，性价比很高，算是平价好物，会回购的非常值得信赖的品牌，质量有保障，价格还亲民，相当满意很好看。商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
7,2,价格,39,41,亲民,42,44,价格,正面,价格很实惠，性价比很高，算是平价好物，会回购的非常值得信赖的品牌，质量有保障，价格还亲民，相当满意很好看。商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
8,2,_,,,相当满意,45,49,整体,正面,价格很实惠，性价比很高，算是平价好物，会回购的非常值得信赖的品牌，质量有保障，价格还亲民，相当满意很好看。商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
9,2,_,,,很好看,49,52,整体,正面,价格很实惠，性价比很高，算是平价好物，会回购的非常值得信赖的品牌，质量有保障，价格还亲民，相当满意很好看。商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
10,2,客服态度,71,75,很积极,75,78,体验,正面,价格很实惠，性价比很高，算是平价好物，会回购的非常值得信赖的品牌，质量有保障，价格还亲民，相当满意很好看。商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
11,2,_,,,非常满意,91,95,整体,正面,价格很实惠，性价比很高，算是平价好物，会回购的非常值得信赖的品牌，质量有保障，价格还亲民，相当满意很好看。商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
12,2,包装,59,61,很好,49,51,包装,正面,价格很实惠，性价比很高，算是平价好物，会回购的非常值得信赖的品牌，质量有保障，价格还亲民，相当满意很好看。商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
13,2,物流,65,67,非常快,67,70,物流,正面,价格很实惠，性价比很高，算是平价好物，会回购的非常值得信赖的品牌，质量有保障，价格还亲民，相当满意很好看。商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
14,3,包装,0,2,太简陋,2,5,包装,负面,包装太简陋，漏了一罐
15,4,_,,,很快,5,7,物流,正面,东西到了，很快，一到我就弄来试试味道，味道不错，包装密封很好
16,4,味道,16,18,不错,21,23,口味,正面,东西到了，很快，一到我就弄来试试味道，味道不错，包装密封很好
17,4,包装,24,26,密封很好,26,30,包装,正面,东西到了，很快，一到我就弄来试试味道，味道不错，包装密封很好
18,5,价格,0,2,比超市便宜,2,7,价格,正面,价格比超市便宜，送货不耽误，包装完好无破损！
19,5,送货,8,10,不耽误,10,13,物流,正面,价格比超市便宜，送货不耽误，包装完好无破损！
20,5,包装,14,16,完好无破损,16,21,包装,正面,价格比超市便宜，送货不耽误，包装完好无破损！
21,6,_,,,真的好好吃,3,8,口味,正面,这个酱真的好好吃，特别好，没有任何破损的地方，外观也好看，好评！
22,6,_,,,特别好,9,12,整体,正面,这个酱真的好好吃，特别好，没有任何破损的地方，外观也好看，好评！
23,6,_,,,没有任何破损,13,19,包装,正面,这个酱真的好好吃，特别好，没有任何破损的地方，外观也好看，好评！
24,6,外观,23,25,好看,26,28,体验,正面,这个酱真的好好吃，特别好，没有任何破损的地方，外观也好看，好评！
25,7,味道,4,6,很好,6,8,口味,正面,拌饭酱的味道很好，只是这次的包装不好，打开箱子油全部漏出来了
26,7,包装,14,16,不好,16,18,包装,负面,拌饭酱的味道很好，只是这次的包装不好，打开箱子油全部漏出来了
27,7,_,,,油全部漏出来了,23,30,包装,负面,拌饭酱的味道很好，只是这次的包装不好，打开箱子油全部漏出来了
28,8,味道,0,2,好,2,3,口味,正面,味道好，日期新鲜，搭配优惠开门红满减，非常棒，快递也好
29,8,日期,4,6,新鲜,6,8,整体,正面,味道好，日期新鲜，搭配优惠开门红满减，非常棒，快递也好
30,8,_,,,非常棒,19,22,整体,正面,味道好，日期新鲜，搭配优惠开门红满减，非常棒，快递也好
31,8,快递,23,25,也好,25,27,物流,正面,味道好，日期新鲜，搭配优惠开门红满减，非常棒，快递也好
32,8,优惠,11,13,_,,,价格,正面,味道好，日期新鲜，搭配优惠开门红满减，非常棒，快递也好
33,9,味道,4,6,喜欢,0,2,口味,正面,喜欢这个味道，不过有点贵啊。
34,9,_,,,有点贵,9,12,价格,负面,喜欢这个味道，不过有点贵啊。
35,10,_,,,拌饭很香很香,0,6,口味,正面,拌饭很香很香，就是油有点大，物流也很速度，很赞
36,10,_,,,油有点大,9,13,整体,负面,拌饭很香很香，就是油有点大，物流也很速度，很赞
37,10,物流,14,16,很速度,17,20,物流,正面,拌饭很香很香，就是油有点大，物流也很速度，很赞
38,10,_,,,很赞,21,23,整体,正面,拌饭很香很香，就是油有点大，物流也很速度，很赞
39,11,物流,0,2,很快,2,4,物流,正面,物流很快就送到了，商品包装的很完整干净，质量很好，味道纯正，拌饭做汤好好又方便
40,11,包装,11,13,很完整干净,14,19,包装,正面,物流很快就送到了，商品包装的很完整干净，质量很好，味道纯正，拌饭做汤好好又方便
41,11,质量,20,22,很好,22,24,整体,正面,物流很快就送到了，商品包装的很完整干净，质量很好，味道纯正，拌饭做汤好好又方便
42,11,味道,25,27,纯正,27,29,口味,正面,物流很快就送到了，商品包装的很完整干净，质量很好，味道纯正，拌饭做汤好好又方便
43,12,_,,,很稠,21,23,整体,正面,想吃部队火锅，按照攻略挑选了这款酱料。酱料很稠，味道非常鲜香，辣味比较柔和，不是爆辣，适合我这样轻辣爱好者。结合料酒调和后，煮进火锅里面，能将味道充分释放进每一样食材中，很有口感的辣酱！
44,12,味道,24,26,非常鲜香,26,30,口味,正面,想吃部队火锅，按照攻略挑选了这款酱料。酱料很稠，味道非常鲜香，辣味比较柔和，不是爆辣，适合我这样轻辣爱好者。结合料酒调和后，煮进火锅里面，能将味道充分释放进每一样食材中，很有口感的辣酱！
45,12,_,,,很有口感,85,89,口味,正面,想吃部队火锅，按照攻略挑选了这款酱料。酱料很稠，味道非常鲜香，辣味比较柔和，不是爆辣，适合我这样轻辣爱好者。结合料酒调和后，煮进火锅里面，能将味道充分释放进每一样食材中，很有口感的辣酱！
46,12,_,,,辣味比较柔和,31,37,口味,正面,想吃部队火锅，按照攻略挑选了这款酱料。酱料很稠，味道非常鲜香，辣味比较柔和，不是爆辣，适合我这样轻辣爱好者。结合料酒调和后，煮进火锅里面，能将味道充分释放进每一样食材中，很有口感的辣酱！
47,13,_,,,有点咸,0,3,口味,负面,有点咸。无功无过。
48,13,_,,,无功无过,4,8,整体,中性,有点咸。无功无过。
49,14,售后,4,6,超级差,6,9,体验,负面,京东现在售后超级差，升级专员，之后专员也不会联系你，升级好几次
50,15,服务态度,2,6,非常的可以,7,12,体验,正面,掌柜服务态度也非常的可以，下次再来。价格也公道。
51,15,价格,18,20,公道,21,23,价格,正面,掌柜服务态度也非常的可以，下次再来。价格也公道。
