,0,1,2
0,老干妈,"你老家床底下的这个玩意儿,正在海外疯狂圈粉",['https://baijiahao.baidu.com/s?id=1692314869401155634&wfr=spider&for=pc']
1,老干妈,"继老干妈后又一中国零食红遍世界,日本成最大进口国?!",['http://dy.163.com/article/G3BIHLET0511LQJU.html']
2,老干妈,"又火了!“中国制造”再次风靡俄罗斯,俄罗斯人:希望能加速生产",['http://dy.163.com/article/G3AVOL9D0537RI7E.html']
3,老干妈,"“茅台院士”事件愈演愈烈,央广网:院士增补要合法,应提高站位",['https://baijiahao.baidu.com/s?id=1692233062104407009&wfr=spider&for=pc']
4,老干妈,"给非洲黑妹尝了下中国的老干妈,黑妹吃了之说GOOD",['https://new.qq.com/rain/a/20210220V0BV5700']
5,老干妈,"已经有烟草院士,茅台和黄金院士正在申请,还会有老干妈院士?",['https://baijiahao.baidu.com/s?id=1692209029918518119&wfr=spider&for=pc']
6,老干妈,酒店畅销家常菜,['https://baijiahao.baidu.com/s?id=1692208515587227708&wfr=spider&for=pc']
7,老干妈,"又一不起眼生意火了,外国消费者认准中方制造,每2秒就达成一单",['http://new.qq.com/omn/ENT20190/20210220A09V5V00.html']
8,老干妈,好吃到停不下来! 卫龙旗舰店大面筋辣条106g*5包17.5元,['http://tech.hexun.com/2021-02-20/203047126.html']
9,老干妈,老干妈为什么不再火爆?看看老板换成谁了?网友:忘了初心!,['https://baijiahao.baidu.com/s?id=1692194584550645703&wfr=spider&for=pc']
,0,1,2
0,老干妈,茅台总工候选院士 争议更在科学之外,['https://baijiahao.baidu.com/s?id=1692190289287742274&wfr=spider&for=pc']
1,老干妈,"不吃“老干妈”的贵州人,到底吃什么?",['http://www.thepaper.cn/newsDetail_forward_11368400']
2,老干妈,,[]
3,老干妈,11点聊电商:US Foods业绩倒退4年 餐饮供应链抗风险能力如何形成?,['https://www.ebrun.com/20210220/422566.shtml']
4,老干妈,"学会这道湖南家常菜,每天米饭不够吃,简单快捷香辣可口",['https://new.qq.com/omn/20210220/20210220A02WOE00.html']
5,老干妈,"茅台总工程师入围院士候选,一大波企业的总工也可以入选了么?",['https://baijiahao.baidu.com/s?id=1692126962517700276&wfr=spider&for=pc']
6,老干妈,"【懂酒谛】“白酒院士”的口水战,有一种误解叫“历史盲”",['https://new.qq.com/omn/20210219/20210219A0E6J800.html']
7,老干妈,"独家!对话宗庆后之女宗馥莉!30多岁国产品牌娃哈哈,如何“破圈”?",['https://new.qq.com/omn/20210219/20210219A0DB0C00.html']
8,老干妈,"茅台首位女总工“院士风波”引关注,“白酒院士”何故惹众怒?",['https://baijiahao.baidu.com/s?id=1692127549212642885&wfr=spider&for=pc']
9,老干妈,"独家对话宗馥莉!30多岁国产老品牌娃哈哈,如何“破圈”?",['https://new.qq.com/omn/20210219/20210219A0CQ9P00.html']
,0,1,2
0,老干妈,"麻辣拌,做法简单,美味小吃",['https://baijiahao.baidu.com/s?id=1692125747572419964&wfr=spider&for=pc']
1,老干妈,"曾风靡一时的老干妈,为何越来越不好吃?网友:可惜了!",['https://new.qq.com/omn/20210219/20210219A05LU000.html']
2,老干妈,"伪装“国货”30年,每年赚走中国300多个亿,这一美国企业真能藏",['https://new.qq.com/omn/20210219/20210219A036WC00.html']
3,老干妈,"如果茅台有了白酒院士,你让王守义和老干妈怎么想?",['https://baijiahao.baidu.com/s?id=1692087819884297298&wfr=spider&for=pc']
4,老干妈,还等啥?老干妈、王守义快跟上……,['https://baijiahao.baidu.com/s?id=1692055006098692243&wfr=spider&for=pc']
5,老干妈,"儿子接手险砸招牌?71岁陶华碧再次出山,第一件事就是换了“它”",['https://new.qq.com/omn/20210218/20210218A08DKR00.html']
6,老干妈,"茅台女总工入围院士候选人,网友称“老干妈”陶华碧也具备资格",['https://baijiahao.baidu.com/s?id=1692004511753366330&wfr=spider&for=pc']
7,老干妈,"老干妈陶华碧:三十岁守寡,五十岁创业,辣椒酱里的别样人生",['https://baijiahao.baidu.com/s?id=1691915725742148221&wfr=spider&for=pc']
8,老干妈,"“老干妈”后继无人?二儿子图便宜擅改配方,大儿子又被限制消费",['https://baijiahao.baidu.com/s?id=1691851209544130570&wfr=spider&for=pc']
9,老干妈,"五毛买卖干出50亿收入,为行业正名和老干妈名扬美国,他靠啥?",['https://baijiahao.baidu.com/s?id=1691842529085467141&wfr=spider&for=pc']
,0,1,2
0,老干妈,“腾讯状告老干妈”事件没想到是这个结果 还真是有人假冒骗钱,['https://baijiahao.baidu.com/s?id=1691088459186036128&wfr=spider&for=pc']
1,老干妈,突发|腾讯和老干妈的事情又有新进展!,['https://baijiahao.baidu.com/s?id=1691047763769279389&wfr=spider&for=pc']
2,老干妈,3人冒充老干妈员工诈骗腾讯被公诉 三人一个“章”能骗大项目,['http://www.guangyuanol.cn/news/shehui/2021/0207/1122564.html']
3,老干妈,"“老干妈”豆瓣酱,还是记忆当中的味道吗?吃的不是酱而是情怀",['https://baijiahao.baidu.com/s?id=1691034016596358167&wfr=spider&for=pc']
4,老干妈,"3人被提起公诉!冒充老干妈员工骗了腾讯,有新进展",['http://news.hnr.cn/djn/article/1/1358366437139419136?fm=1']
5,老干妈,3人冒充老干妈员工骗腾讯被公诉 骗子终于有了应得的惩罚,['http://www.guangyuanol.cn/news/newspaper/2021/0207/1122549.html']
6,老干妈,冒充“老干妈”公司员工骗取财物 三人被提起公诉,['http://news.cctv.com/2021/02/07/ARTIEWfHmW3VXTbf18PRhniO210207.shtml']
7,老干妈,"冒充老干妈员工骗了腾讯,有新进展",['https://baijiahao.baidu.com/s?id=1691024412583646534&wfr=spider&for=pc']
8,老干妈,"继老干妈后,这个中国制造风靡国外,外国人:此前为何藏着掖着",['https://baijiahao.baidu.com/s?id=1690936361244441681&wfr=spider&for=pc']
9,老干妈,"仲景食品欲与老干妈竞争辣酱市场,称瞄准更大市场份额",['https://baijiahao.baidu.com/s?id=1690853999973340574&wfr=spider&for=pc']
,0,1,2
