,0,1,2,3,4,5,6,7,8
0,100009628709,5,1451,1275,0.99,0,0.0,2,0.01
,0,1,2,3,4,5,6,7,8
0,4695858,5,914182,377100,0.99,1146,0.009,693,0.001
,0,1,2,3,4,5,6,7,8
0,5464177,5,399741,167803,0.99,461,0.009,277,0.001
,0,1,2,3,4,5,6,7,8
0,100008420904,5,140437,26683,0.98,164,0.016,120,0.004
,0,1,2,3,4,5,6,7,8
0,100000424178,5,714047,233295,0.99,695,0.009,416,0.001
,0,1,2,3,4,5,6,7,8
0,100000451519,5,714050,233298,0.99,695,0.009,416,0.001
,0,1,2,3,4,5,6,7,8
0,1153610,5,322584,128753,0.99,502,0.008,263,0.002
,0,1,2,3,4,5,6,7,8
0,5663798,5,674373,375518,0.99,727,0.01,341,0.0
,0,1,2,3,4,5,6,7,8
0,794422,5,572660,350034,0.99,1034,0.009,516,0.001
,0,1,2,3,4,5,6,7,8
0,100000424202,5,179445,52637,0.99,211,0.009,93,0.001
,0,1,2,3,4,5,6,7,8
0,6338667,5,198019,72178,0.99,93,0.01,66,0.0
,0,1,2,3,4,5,6,7,8
0,1083784,5,1047782,526403,0.99,1607,0.009,967,0.001
,0,1,2,3,4,5,6,7,8
0,62836453660,5,563,253,0.99,1,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,730614,5,1977231,1269962,0.99,6085,0.007,4077,0.003
,0,1,2,3,4,5,6,7,8
0,4476767,5,714041,233291,0.99,695,0.009,416,0.001
,0,1,2,3,4,5,6,7,8
0,4296201,5,153820,91589,0.99,195,0.009,115,0.001
,0,1,2,3,4,5,6,7,8
0,100000217809,5,106877,16306,0.99,55,0.009,21,0.001
,0,1,2,3,4,5,6,7,8
0,4005567,5,311755,131719,0.99,405,0.009,158,0.001
,0,1,2,3,4,5,6,7,8
0,100007314880,5,52331,7284,0.98,62,0.018,19,0.002
,0,1,2,3,4,5,6,7,8
0,5464191,5,399742,167804,0.99,461,0.009,277,0.001
,0,1,2,3,4,5,6,7,8
0,2210373,5,334621,100288,0.99,432,0.008,237,0.002
,0,1,2,3,4,5,6,7,8
0,100007265728,5,220571,79633,0.99,246,0.009,115,0.001
,0,1,2,3,4,5,6,7,8
0,100000424188,5,714052,233304,0.99,695,0.009,416,0.001
,0,1,2,3,4,5,6,7,8
0,1178879,5,1400327,816818,0.99,2377,0.009,1587,0.001
,0,1,2,3,4,5,6,7,8
0,10024752864961,5,332,233,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,36082711893,5,16611,5716,0.98,37,0.014,35,0.006
,0,1,2,3,4,5,6,7,8
0,5834654,5,399744,167806,0.99,461,0.009,277,0.001
,0,1,2,3,4,5,6,7,8
0,1227178,5,599645,352083,0.99,1564,0.008,994,0.002
,0,1,2,3,4,5,6,7,8
0,1443640487,5,15421,6826,0.98,90,0.014,48,0.006
,0,1,2,3,4,5,6,7,8
0,100002041064,5,311755,131719,0.99,405,0.009,158,0.001
,0,1,2,3,4,5,6,7,8
0,3816695,5,119163,49661,0.97,648,0.02,535,0.01
,0,1,2,3,4,5,6,7,8
0,10494514865,5,147080,66409,0.99,328,0.004,336,0.006
,0,1,2,3,4,5,6,7,8
0,11174966129,5,78632,37149,0.98,276,0.014,244,0.006
,0,1,2,3,4,5,6,7,8
0,10822157414,5,52350,26200,0.98,150,0.016,127,0.004
,0,1,2,3,4,5,6,7,8
0,1153605,5,130359,52103,0.99,218,0.008,147,0.002
,0,1,2,3,4,5,6,7,8
0,5834652,5,399748,167810,0.99,461,0.009,277,0.001
,0,1,2,3,4,5,6,7,8
0,1178886,5,868592,494116,0.99,1573,0.009,983,0.001
,0,1,2,3,4,5,6,7,8
0,326467,5,1602281,926791,0.99,3122,0.009,1570,0.001
,0,1,2,3,4,5,6,7,8
0,10020896210505,5,1885,292,0.96,8,0.031,3,0.009
,0,1,2,3,4,5,6,7,8
0,5464143,5,674383,375532,0.99,727,0.01,341,0.0
,0,1,2,3,4,5,6,7,8
0,39219904633,5,659,136,0.97,2,0.023,1,0.007
,0,1,2,3,4,5,6,7,8
0,6053192,5,73721,31738,0.99,158,0.007,96,0.003
,0,1,2,3,4,5,6,7,8
0,5663798,5,674384,375533,0.99,727,0.01,341,0.0
,0,1,2,3,4,5,6,7,8
0,100000757536,5,311754,131718,0.99,405,0.009,158,0.001
,0,1,2,3,4,5,6,7,8
0,329764,5,69099,42437,0.99,226,0.008,108,0.002
,0,1,2,3,4,5,6,7,8
0,100008104040,5,20641,6062,0.98,78,0.017,20,0.003
,0,1,2,3,4,5,6,7,8
0,4255322,5,249836,88419,0.99,368,0.008,247,0.002
,0,1,2,3,4,5,6,7,8
0,10253852034,5,14996,5473,0.98,21,0.003,35,0.017
,0,1,2,3,4,5,6,7,8
0,539384,5,614702,309555,0.99,742,0.009,449,0.001
,0,1,2,3,4,5,6,7,8
0,5663796,5,674385,375534,0.99,727,0.01,341,0.0
,0,1,2,3,4,5,6,7,8
